hour_of_day,day_of_week,transport_mode,route_length_meters,danger_spot_count,crowd_density,historical_incident_density,lighting_score,risk_score
5,4,mixed,5430,3,0.57,0.0,0.15,80.51
13,6,mixed,5779,3,0.47,0.68,0.8,60.91
23,1,walking,5149,4,0.68,0.62,0.08,100
7,5,cab,4180,1,0.19,0.05,0.99,16.52
19,6,walking,7961,3,0.89,0.58,0.66,84.92
12,3,bus,4497,1,0.67,0.01,0.9,16.95
3,6,bus,4085,1,0.81,0.7,0.21,73.03
17,1,walking,7978,1,0.81,0.67,1.0,45.6
19,2,bus,8770,3,0.84,0.55,0.75,61.61
23,6,bus,7873,2,0.76,0.84,0.15,92.73
16,3,auto,4999,3,0.12,0.29,0.71,42.61
10,4,walking,2767,1,0.27,0.69,0.88,47.94
2,3,bus,5921,4,0.49,0.06,0.34,75.7
12,6,mixed,820,4,0.41,0.01,0.74,38.86
12,6,bus,9318,5,0.75,0.8,0.96,58.99
15,1,cab,7640,3,0.08,0.34,0.87,37.01
12,5,auto,8157,1,0.98,0.53,0.96,29.43
18,4,walking,1875,5,0.46,0.87,0.39,100
8,3,cab,3967,3,0.36,0.76,0.75,42.68
13,2,walking,8205,0,0.76,0.05,0.98,17.04
7,5,walking,1159,0,0.95,0.2,0.61,16.91
4,1,auto,8258,5,0.16,0.95,0.21,100
8,6,cab,3249,4,0.63,0.75,0.65,45.24
5,2,walking,9981,0,0.93,0.58,0.37,81.06
12,3,auto,1745,4,0.71,0.63,0.64,48.44
9,6,mixed,2483,4,0.79,0.35,0.77,48.15
11,0,mixed,6090,0,0.86,0.82,0.64,44.59
11,5,bus,3006,3,0.22,0.52,0.86,45.61
19,6,mixed,8421,3,0.46,0.73,0.43,91.74
7,6,walking,5069,3,0.28,0.46,0.84,58.8
12,2,walking,8598,2,0.22,0.21,0.92,44.76
10,2,mixed,5026,4,0.06,0.95,0.63,82.49
23,3,bus,9596,1,0.71,0.65,0.22,76.09
0,0,cab,4130,3,0.71,0.31,0.25,58.23
15,4,mixed,6132,3,1.0,0.55,0.74,52.36
14,2,cab,4618,1,0.16,0.19,0.65,24.21
17,6,auto,3638,1,0.75,0.28,0.84,22.28
16,4,cab,2147,1,0.33,0.36,0.72,23.19
22,4,auto,4994,0,0.98,0.55,0.29,58.36
4,5,bus,2180,0,0.6,0.47,0.2,60.2
5,0,cab,8327,0,0.83,0.4,0.08,50.62
20,5,walking,2985,1,0.82,0.95,0.34,83.81
7,0,mixed,7318,4,0.62,0.62,0.91,63.53
12,3,bus,5371,4,0.99,0.31,0.85,41.52
19,5,walking,3904,5,0.25,0.66,0.38,100
5,4,walking,3064,0,0.44,0.69,0.21,87.3
1,1,cab,5132,5,0.87,0.07,0.13,59.36
8,6,mixed,3741,3,0.16,0.22,0.66,48.08
8,6,auto,1669,0,0.21,0.31,0.9,19.08
18,2,bus,2537,3,0.7,0.7,0.77,61.04
16,4,bus,7672,0,0.62,0.89,0.89,40.04
19,2,walking,1996,1,0.96,0.84,0.59,66.89
0,6,cab,9941,0,0.77,0.18,0.23,44.44
14,2,auto,7641,5,0.82,0.97,0.79,62.14
13,2,cab,2213,1,0.36,0.69,0.72,30.46
12,6,mixed,1101,3,0.13,0.25,0.65,45.21
12,6,mixed,518,5,0.88,0.46,0.62,51.12
16,2,mixed,8667,5,0.47,0.05,0.71,50.77
4,2,bus,8441,0,0.08,0.63,0.33,74.24
22,1,cab,9524,0,0.57,0.09,0.4,42.0
3,3,walking,3022,3,0.94,0.29,0.3,86.8
13,6,bus,8236,1,0.48,0.14,0.68,28.69
19,4,auto,1643,2,0.78,0.85,0.47,58.6
16,2,walking,5134,5,0.33,0.59,1.0,68.52
15,6,auto,7816,4,0.51,0.33,0.91,45.13
12,3,cab,3590,5,0.28,0.38,0.94,37.41
13,0,cab,8249,5,0.92,0.38,1.0,35.4
20,1,bus,1106,1,0.53,0.59,0.73,46.65
14,0,mixed,7986,0,0.74,0.41,0.86,29.7
4,0,bus,4842,2,0.64,0.4,0.08,74.73
10,6,mixed,6726,2,0.65,0.89,0.8,60.72
17,0,mixed,1621,1,0.65,0.92,1.0,43.48
23,0,bus,2112,5,0.72,0.1,0.11,73.45
9,0,walking,5814,0,0.33,0.37,0.66,37.95
16,3,mixed,3450,1,0.22,0.61,0.75,45.13
21,1,bus,2844,1,0.49,0.25,0.43,44.1
0,6,bus,5212,5,0.57,0.07,0.38,74.59
18,2,bus,4597,3,0.85,0.2,0.49,52.29
15,0,auto,6748,4,0.39,0.3,0.88,45.81
0,6,bus,4997,0,0.59,0.69,0.31,69.01
1,4,bus,5189,1,0.63,0.35,0.27,65.49
19,2,auto,2091,5,0.66,0.31,0.52,56.73
18,2,auto,1976,2,0.36,0.42,0.4,52.17
17,2,mixed,8721,2,0.84,0.26,0.93,35.7
15,6,cab,6049,0,0.49,0.08,0.9,13.56
7,6,bus,9631,2,0.14,0.39,0.71,44.32
3,3,cab,4795,4,0.41,0.64,0.18,73.94
21,1,bus,910,4,0.89,0.56,0.76,58.77
7,5,walking,8106,5,0.34,0.41,0.66,70.8
1,2,bus,2402,0,0.27,0.54,0.19,65.79
11,5,mixed,7366,4,0.76,0.15,0.77,48.79
3,6,bus,7186,2,0.08,0.37,0.21,79.94
7,6,cab,2127,5,0.4,0.9,0.86,47.47
1,3,cab,3609,0,0.95,0.82,0.08,55.74
6,5,mixed,849,0,0.8,0.24,0.65,17.3
18,1,walking,9580,1,0.61,0.81,0.42,81.48
4,6,mixed,546,2,0.87,0.14,0.1,68.0
8,6,auto,2301,5,0.87,0.13,0.74,33.8
7,4,cab,758,1,0.3,0.13,0.77,16.12
3,5,walking,8302,3,0.79,0.51,0.09,100
16,1,mixed,1210,5,0.79,0.87,0.81,63.65
14,5,walking,1496,3,0.85,0.43,0.64,48.05
22,3,walking,1823,2,0.63,0.07,0.15,75.94
20,4,mixed,5827,3,0.99,0.53,0.53,71.27
19,3,walking,2374,5,0.67,0.77,0.66,90.07
6,3,bus,4243,3,0.37,0.45,0.77,45.23
3,2,bus,5620,5,0.29,0.95,0.29,100
15,0,walking,1898,0,0.46,0.74,0.75,41.04
4,4,walking,9701,4,0.36,0.12,0.17,100
21,6,bus,1342,2,0.62,0.35,0.59,51.99
6,1,bus,4174,0,0.38,0.56,0.65,32.79
8,4,auto,7530,4,0.98,0.82,0.85,54.95
20,4,walking,4881,0,0.22,0.7,0.45,71.25
10,2,walking,3472,1,0.59,0.4,0.66,38.89
20,0,walking,9191,1,0.41,0.45,0.38,71.64
9,5,cab,9799,4,0.13,0.05,0.66,36.97
19,0,walking,4958,3,0.68,0.49,0.52,78.64
8,1,mixed,2364,2,0.46,0.28,0.87,34.43
15,4,cab,1244,1,0.43,0.6,0.6,28.17
9,1,auto,4686,2,0.36,0.01,0.9,24.51
5,1,bus,9225,5,0.27,0.56,0.28,94.9
11,0,bus,1193,3,0.07,0.92,0.94,54.71
18,3,mixed,7126,5,0.66,0.29,0.5,76.56
10,1,mixed,8038,5,0.92,0.09,0.94,43.34
7,3,mixed,7060,4,0.12,0.87,0.9,77.44
7,2,auto,1751,4,0.65,0.53,0.68,45.74
11,2,auto,4371,0,0.19,0.2,0.84,20.75
20,0,auto,8595,3,0.77,0.76,0.52,67.77
18,5,mixed,5795,5,0.35,0.44,0.53,87.99
20,2,cab,1420,2,0.53,0.31,0.53,37.63
1,2,cab,1757,5,0.87,0.86,0.27,71.76
16,3,bus,9581,5,0.9,0.45,0.92,48.16
20,1,cab,8292,4,0.19,0.06,0.35,51.49
10,5,walking,8766,5,0.21,0.25,0.78,64.44
14,4,mixed,3100,2,0.4,0.28,0.76,38.12
10,5,mixed,1357,5,0.66,0.07,0.64,41.73
21,3,cab,4628,5,0.86,0.96,0.6,62.36
4,2,walking,2817,2,0.34,0.66,0.28,100
4,4,walking,5572,4,0.41,0.79,0.33,100
21,5,mixed,2031,5,0.69,0.51,0.31,83.98
9,1,auto,6098,3,0.23,1.0,0.66,62.95
9,6,walking,8817,4,0.84,0.88,0.62,81.24
10,6,mixed,2647,4,0.41,0.16,0.93,43.69
19,6,auto,7670,0,0.44,0.68,0.42,58.73
14,4,cab,7855,1,0.56,0.31,0.92,23.17
15,6,auto,6526,5,0.95,0.98,0.78,61.19
9,6,bus,8739,4,0.45,0.16,0.68,46.64
19,1,cab,1354,5,0.51,0.37,0.77,46.11
22,6,mixed,2542,2,0.13,0.16,0.21,83.28
16,1,bus,2002,1,0.83,0.88,0.97,35.68
13,0,bus,8724,2,0.27,0.99,0.75,59.61
0,2,walking,5993,1,0.18,0.29,0.34,86.15
22,6,auto,8185,3,0.63,0.91,0.06,97.79
6,6,auto,9491,5,0.63,0.42,0.91,47.39
7,2,walking,1282,1,0.45,0.79,0.78,48.51
3,6,bus,9282,0,0.65,0.58,0.3,67.83
9,3,walking,6280,1,0.59,0.19,0.87,32.6
16,2,walking,9118,4,0.53,0.99,0.82,85.32
12,6,bus,1213,5,0.42,0.37,0.9,42.96
11,6,walking,6149,1,0.75,0.63,0.91,45.57
23,6,cab,2685,0,0.38,0.34,0.27,51.03
21,3,bus,3486,1,0.11,0.78,0.53,62.3
9,1,walking,3768,0,0.35,0.31,0.76,30.06
17,3,cab,1099,5,0.23,0.36,0.91,34.87
20,2,cab,2539,2,0.47,0.4,0.52,41.48
12,2,auto,8629,5,0.52,0.92,0.81,63.23
2,5,bus,1793,3,0.62,0.82,0.24,85.97
10,0,walking,5872,5,0.33,0.45,0.89,66.79
5,5,bus,6259,3,0.09,0.87,0.17,99.79
13,2,walking,1729,5,0.66,0.36,0.92,51.59
21,1,walking,2839,4,0.69,0.44,0.36,82.99
7,6,cab,6433,3,0.95,0.03,0.66,25.61
14,2,cab,7773,0,0.6,0.53,0.76,25.12
20,2,auto,2358,0,0.75,0.5,0.49,39.32
17,0,cab,4764,5,0.47,1.0,0.71,53.85
15,1,walking,2723,0,0.48,0.9,0.78,47.5
2,6,cab,6192,5,0.11,0.54,0.36,74.24
5,5,auto,6422,4,0.26,0.99,0.33,99.7
7,6,bus,930,2,0.58,0.37,0.92,28.4
17,1,mixed,1912,0,0.34,1.0,0.89,45.23
16,3,bus,9919,0,0.17,0.32,0.63,31.78
14,5,mixed,6144,1,0.88,0.78,0.86,46.11
5,6,auto,7588,4,0.92,0.06,0.09,72.23
4,2,auto,3153,2,0.94,0.23,0.38,57.18
16,2,walking,4605,1,0.65,0.55,0.65,45.79
9,4,mixed,2030,4,0.66,0.59,0.83,55.76
5,5,mixed,6031,4,0.09,0.86,0.08,100
20,6,mixed,4836,5,0.25,0.57,0.61,90.47
0,3,mixed,5245,5,0.96,0.48,0.33,96.49
21,3,cab,7930,0,0.7,0.16,0.51,30.11
14,1,cab,2853,2,0.87,0.32,1.0,20.38
11,3,auto,6570,4,0.58,0.32,0.79,45.72
8,3,auto,2808,0,0.1,0.95,0.95,38.22
13,1,auto,5864,4,0.74,0.19,0.66,41.58
16,3,bus,5555,3,0.07,0.95,0.8,63.78
7,1,mixed,6281,0,0.1,0.49,0.95,37.26
20,5,bus,5181,4,0.06,0.11,0.37,70.48
8,5,cab,7106,2,0.09,0.05,0.82,26.47
11,4,cab,1704,3,0.53,0.76,0.71,39.3
19,5,mixed,2446,1,0.98,0.39,0.7,50.18
10,4,cab,2863,1,0.62,0.4,0.62,23.85
1,1,cab,8261,4,0.48,0.61,0.23,74.29
10,4,cab,3162,3,0.99,0.74,0.72,36.93
10,4,mixed,9221,3,0.72,0.3,0.93,44.94
11,2,walking,7324,4,0.34,0.9,0.95,82.02
20,0,mixed,8275,2,0.97,0.78,0.69,71.89
18,1,walking,8371,1,0.55,0.72,0.69,74.1
12,1,auto,1017,4,0.95,0.11,0.61,31.66
10,3,auto,7265,5,0.24,0.5,0.84,54.0
15,6,walking,2762,4,0.25,0.33,0.86,57.17
16,3,cab,3337,3,0.92,0.34,0.74,28.43
23,5,cab,8432,1,0.96,0.28,0.15,55.66
9,6,cab,3896,5,0.72,0.32,0.74,35.36
23,2,cab,2496,4,0.69,0.38,0.39,61.05
11,6,auto,5258,0,0.32,0.71,0.74,35.9
14,5,cab,8349,1,0.24,0.54,0.97,30.19
22,2,auto,2289,4,0.75,0.24,0.07,72.98
16,1,auto,1360,0,0.44,0.72,0.64,31.18
4,0,mixed,3087,3,0.67,0.88,0.22,100
20,1,cab,5762,2,0.66,0.91,0.34,57.18
18,1,mixed,1111,1,0.45,0.84,0.77,62.5
1,6,bus,8616,1,0.94,0.96,0.37,80.61
1,0,cab,9805,4,0.15,0.98,0.15,85.99
20,4,mixed,8592,1,0.86,0.47,0.4,61.05
3,2,auto,8018,5,0.29,0.19,0.31,79.33
9,4,auto,3375,4,0.86,0.9,0.93,52.66
16,2,walking,7067,5,0.14,0.98,0.79,91.38
7,0,cab,6784,1,0.47,0.27,0.73,25.09
18,5,mixed,687,2,0.67,0.69,0.33,73.29
3,3,cab,3116,3,0.7,0.92,0.36,69.66
9,5,walking,5333,2,0.63,0.22,0.65,42.66
4,3,mixed,6621,3,0.72,0.91,0.32,100
21,6,auto,4554,5,0.77,0.87,0.34,81.62
14,4,cab,1779,4,0.16,0.83,0.96,45.43
6,4,mixed,2955,1,0.36,0.52,0.65,41.45
6,5,mixed,8508,0,0.9,0.45,0.62,33.22
4,4,bus,7984,4,0.1,0.46,0.33,92.01
23,0,bus,4669,0,0.76,0.58,0.07,67.22
11,5,walking,9366,0,0.94,0.07,0.97,15.78
1,2,bus,3448,1,0.78,0.98,0.28,79.39
13,2,bus,7848,3,0.41,0.68,0.86,53.58
17,1,cab,2443,1,0.99,0.39,0.65,20.04
7,6,walking,872,2,0.49,0.72,0.77,52.15
12,6,auto,4555,3,0.38,0.28,0.97,35.89
23,6,walking,1027,5,0.45,0.77,0.36,100
0,1,auto,1602,0,0.61,0.45,0.29,54.41
1,1,walking,7090,3,0.27,0.22,0.35,97.98
1,1,mixed,5239,1,0.82,0.73,0.16,88.17
19,6,cab,4381,2,0.88,0.99,0.56,58.3
13,2,cab,1498,4,0.95,0.88,0.96,40.31
20,5,bus,9607,3,0.09,0.34,0.62,69.6
12,6,mixed,5722,5,0.45,0.15,0.75,52.07
17,3,auto,4192,2,0.86,0.14,0.79,24.33
1,4,bus,7324,4,0.55,0.39,0.14,88.45
10,5,walking,7869,2,0.14,0.72,0.68,68.4
8,3,mixed,1147,0,0.23,0.76,0.89,37.26
17,1,bus,3922,2,0.34,0.91,0.68,53.75
6,5,walking,8346,1,0.71,0.7,0.76,52.2
7,4,cab,5137,3,0.49,0.65,0.72,40.88
11,4,bus,8135,0,0.81,0.72,0.9,33.25
10,1,cab,5626,3,0.09,0.86,0.9,47.13
0,2,mixed,9988,5,0.45,0.15,0.17,96.2
12,4,auto,8680,4,0.67,0.68,0.7,55.98
15,5,bus,8050,1,0.75,0.35,0.66,32.4
17,3,auto,9382,5,0.96,0.52,0.94,46.71
2,6,walking,604,3,0.18,0.63,0.07,100
4,0,auto,8785,3,0.4,0.62,0.28,84.06
19,3,bus,757,0,0.56,0.41,0.31,41.03
23,2,mixed,5197,0,0.53,0.7,0.2,83.05
5,0,walking,9091,1,0.28,0.62,0.14,100
11,2,bus,1794,2,0.96,0.46,0.7,31.72
22,1,cab,1820,5,0.99,0.65,0.06,68.57
12,3,bus,9555,3,0.1,0.01,0.67,40.14
15,6,bus,5927,4,0.98,0.97,0.96,59.65
1,1,auto,9786,3,0.31,0.92,0.29,92.84
8,4,mixed,1039,1,0.93,0.31,0.98,19.64
18,1,bus,1760,2,0.2,0.24,0.72,46.59
12,5,mixed,5935,3,0.77,0.14,1.0,36.74
23,0,mixed,6166,0,0.14,0.23,0.08,75.4
19,6,mixed,6999,2,0.08,0.27,0.8,68.03
15,1,cab,9560,3,0.46,0.68,0.86,41.93
2,6,mixed,5339,1,0.73,0.08,0.1,68.87
22,6,auto,6883,2,0.39,0.09,0.38,68.09
14,2,cab,2174,1,0.13,0.43,0.82,25.17
16,3,walking,930,0,0.39,0.09,0.84,15.11
10,6,bus,702,2,0.44,0.78,0.89,41.52
17,1,mixed,9037,1,0.7,0.17,0.71,31.3
8,3,auto,1536,1,0.46,0.42,0.79,26.51
2,2,cab,4540,5,0.64,0.59,0.12,72.23
3,1,cab,610,3,0.37,0.62,0.33,62.9
10,3,cab,7555,5,0.98,0.14,0.73,32.59
22,1,bus,5647,1,0.97,0.97,0.15,82.29
22,5,bus,9935,1,0.36,0.28,0.33,72.31
11,0,mixed,3773,4,1.0,0.18,0.91,40.05
0,5,bus,3934,3,0.81,0.83,0.07,89.92
13,5,bus,2780,5,0.34,0.25,0.66,45.95
13,6,bus,1711,3,0.99,0.48,0.76,36.73
16,6,bus,9407,0,0.8,0.36,0.96,22.23
17,4,walking,2291,1,0.67,0.36,0.86,30.76
1,4,bus,5932,3,0.15,0.1,0.13,77.38
23,4,mixed,9924,1,0.47,0.39,0.32,80.52
18,5,mixed,2969,2,1.0,0.48,0.45,64.51
2,0,auto,6207,2,0.38,0.78,0.23,83.21
11,3,walking,7678,5,0.71,0.32,0.72,62.04
22,0,walking,6120,5,0.15,0.8,0.38,100
23,1,mixed,3358,4,0.2,0.56,0.39,100
7,6,bus,3522,1,0.66,0.43,0.61,31.76
19,1,bus,7537,3,0.05,0.21,0.44,63.84
22,6,walking,9959,0,0.81,0.54,0.18,89.48
6,3,walking,4798,5,0.87,0.53,0.86,61.8
19,3,mixed,6931,4,0.16,0.35,0.53,82.45
5,6,cab,1888,5,0.18,0.12,0.16,61.67
5,2,auto,8869,3,0.45,0.14,0.18,72.0
5,3,mixed,3338,4,0.21,0.29,0.12,97.69
14,4,walking,6382,0,0.51,0.2,0.75,29.07
17,4,bus,7203,5,0.52,0.71,0.78,61.18
5,0,mixed,1005,1,0.33,0.27,0.24,70.08
5,6,bus,9767,5,0.78,0.5,0.23,89.06
18,0,cab,9398,2,0.56,0.76,0.68,51.75
14,4,auto,7465,0,0.75,0.65,0.7,32.85
1,3,cab,6211,0,0.47,0.99,0.32,63.39
7,1,mixed,6244,5,0.63,0.43,0.85,58.54
6,6,auto,1472,4,0.38,0.28,0.82,39.16
10,5,cab,5240,4,0.3,0.86,0.99,48.61
21,6,walking,2721,3,0.92,0.99,0.73,90.96
4,5,auto,4590,1,0.73,0.83,0.32,72.62
21,3,bus,2829,4,0.65,0.63,0.49,69.63
2,5,walking,7100,4,0.76,0.69,0.36,100
14,3,cab,540,5,0.14,0.97,0.85,49.32
22,2,walking,9256,3,0.26,0.43,0.12,100
8,2,cab,6033,4,0.6,0.57,0.79,42.97
10,5,walking,1252,0,0.64,0.84,0.61,43.83
5,3,bus,511,3,0.24,0.69,0.1,86.04
20,2,auto,4989,0,0.67,0.25,0.49,36.84
20,1,walking,6993,5,0.34,0.7,0.42,100
20,0,walking,517,1,0.5,0.13,0.41,47.43
21,3,walking,632,5,0.38,0.12,0.73,65.76
22,1,bus,1660,1,0.41,0.73,0.09,75.94
10,2,cab,2746,3,0.78,0.75,0.65,39.05
21,1,walking,9191,4,0.06,0.65,0.52,100
23,1,auto,7245,4,0.7,0.86,0.08,95.94
3,1,walking,6791,2,0.97,0.31,0.1,90.12
8,5,walking,4565,4,0.62,0.72,0.71,72.72
22,0,cab,3866,4,0.63,0.19,0.19,61.01
20,0,auto,8608,3,0.16,0.5,0.6,65.16
16,0,cab,5685,1,0.42,0.84,0.77,36.73
17,5,auto,8217,0,0.07,0.07,0.7,23.31
1,0,bus,8800,2,0.65,0.5,0.2,78.38
22,3,walking,9291,4,0.64,0.28,0.16,100
16,1,auto,9288,2,0.42,0.63,0.93,42.98
21,5,walking,5581,5,0.47,0.95,0.42,100
7,0,bus,2400,3,0.63,0.06,0.87,27.6
21,5,auto,2456,0,0.72,0.7,0.38,51.61
11,4,mixed,4747,1,0.4,0.75,0.95,46.61
23,0,walking,5988,3,0.31,0.06,0.3,91.42
18,5,walking,8628,3,0.54,0.06,0.73,69.14
5,2,auto,4679,0,0.9,0.67,0.09,64.59
23,4,walking,1221,0,0.28,0.47,0.18,78.52
4,1,walking,9558,5,0.75,0.42,0.16,100
13,5,cab,4944,0,0.59,0.12,0.87,12.8
1,1,auto,8950,0,0.96,0.07,0.21,48.91
9,6,cab,5862,0,0.58,0.01,0.68,13.57
18,6,cab,4474,3,0.4,0.97,0.8,63.36
6,5,mixed,4516,1,0.06,0.41,0.69,43.04
11,5,walking,5988,0,0.77,0.38,0.9,29.02
9,0,auto,9180,1,0.45,0.96,0.99,45.4
4,5,cab,2024,0,0.93,0.9,0.23,54.21
22,2,bus,1891,4,0.14,0.13,0.34,75.27
2,4,mixed,1520,3,0.68,0.13,0.15,77.14
10,6,bus,5845,2,0.48,0.23,0.98,31.51
4,6,mixed,2285,1,0.15,0.45,0.16,81.43
3,4,cab,3901,3,0.34,0.27,0.09,61.65
5,6,cab,1160,1,0.84,0.33,0.08,47.28
7,2,bus,8912,0,0.69,0.26,1.0,19.86
0,3,bus,9608,5,0.57,0.09,0.09,81.37
4,0,walking,1510,1,0.17,0.82,0.18,100
20,5,walking,4740,0,0.07,0.06,0.75,49.35
14,6,auto,2006,2,0.17,0.94,0.62,51.49
18,3,bus,8628,0,0.41,0.43,0.48,49.02
5,2,cab,7807,1,0.08,0.62,0.14,65.03
9,3,bus,9522,3,0.11,0.28,0.65,48.02
6,5,mixed,4582,5,0.99,0.54,0.61,59.43
12,6,cab,8359,4,0.79,0.34,0.83,36.64
10,3,cab,3446,0,0.35,0.22,0.96,14.15
8,0,bus,9174,2,0.78,1.0,0.99,51.63
3,1,auto,4866,4,0.83,0.92,0.07,94.09
7,4,bus,6313,1,0.22,0.59,0.92,40.06
22,2,mixed,962,5,0.72,0.95,0.25,100
18,1,bus,9382,2,0.22,0.04,0.33,53.25
19,1,walking,9125,3,0.05,0.92,0.4,100
4,2,auto,5801,0,0.07,0.59,0.37,67.64
3,6,mixed,6478,0,0.4,0.94,0.19,94.67
3,2,cab,5785,1,0.98,0.73,0.2,59.08
20,3,cab,3354,5,0.97,0.69,0.76,52.22
11,1,mixed,3372,3,0.34,0.69,0.65,61.17
23,0,mixed,6915,4,0.08,0.6,0.37,100
19,1,mixed,2205,3,0.18,0.75,0.42,83.28
10,1,walking,6000,3,0.06,0.21,0.88,53.4
11,2,walking,520,0,0.42,0.73,0.99,34.36
13,3,bus,6254,4,0.41,0.83,0.92,62.11
18,5,auto,3164,3,0.12,0.85,0.45,77.27
10,2,walking,1715,2,0.21,0.38,0.89,42.63
17,0,cab,8409,5,0.08,0.94,0.67,58.01
13,1,walking,2159,2,0.25,0.19,0.88,36.29
23,5,mixed,4846,5,0.32,0.24,0.07,100
18,4,bus,3016,0,0.39,0.43,0.45,44.44
21,5,mixed,8369,1,0.14,0.21,0.62,61.76
2,3,walking,5552,3,0.5,0.89,0.14,100
20,4,bus,3529,2,0.89,0.37,0.52,49.11
8,3,bus,4815,1,0.85,0.56,0.66,34.79
22,5,walking,1904,5,0.38,0.54,0.39,100
18,1,mixed,1499,3,0.83,0.42,0.57,61.6
15,4,auto,8303,2,0.13,0.9,0.89,53.41
16,4,mixed,9863,5,0.98,0.15,0.98,44.0
14,1,auto,3971,1,0.17,0.42,1.0,29.57
13,1,auto,4725,2,0.92,0.91,0.63,47.46
12,4,bus,9544,2,0.86,0.52,0.97,37.48
0,6,mixed,9061,3,0.16,0.15,0.25,90.37
18,6,walking,2230,4,0.79,0.79,0.73,91.63
11,3,cab,6775,5,0.51,0.61,0.61,48.04
8,3,auto,7081,0,0.43,0.88,0.88,39.51
1,5,bus,4900,2,0.07,0.82,0.16,91.06
8,6,bus,2109,1,0.18,0.97,0.78,47.28
10,2,bus,1962,1,0.47,0.91,0.76,42.89
15,6,mixed,6626,0,0.54,0.16,0.72,25.89
16,3,auto,9089,4,0.08,0.19,0.93,44.96
1,1,walking,7978,0,0.92,0.7,0.15,89.46
14,4,bus,2529,5,0.08,0.37,0.84,48.92
5,6,bus,9533,2,0.38,0.84,0.14,91.48
22,0,cab,949,3,0.1,0.85,0.32,70.59
6,6,auto,4188,5,0.25,0.65,0.81,55.02
21,0,bus,2667,5,0.21,0.8,0.41,80.51
19,6,cab,5011,3,0.9,0.85,0.53,60.55
6,3,cab,9030,4,0.43,0.1,0.8,34.28
21,6,cab,9698,5,0.61,0.28,0.64,55.77
15,0,cab,5029,5,0.36,0.28,0.86,37.08
